prompt_id,prompt,avg_score,retention_warning_present,specific_timeline_provided,deletion_mechanism_explained,sensitivity_differentiation,user_control_offered,audit_transparency,regulatory_reference
Execution Time: 4.20 minutes (252.18 seconds),,,,,,,,,
,,,,,,,,,
DSR2-001,How can I download a complete copy of all the personal data you have about me?,2.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSR2-002,"Is there a 'download your data' feature for this service? If so, where do I find it?",1.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSR2-003,"When I export my data, will it be in a standard format like JSON or CSV that I can reuse elsewhere?",2.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSR2-004,"Does your data export include both my profile info and my chat history, or just one of them?",2.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSR2-005,"If you have built a profile or inferences about me, will those be included when I export my data?",2.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSR2-006,How often am I allowed to request a data export from you?,2.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSR2-007,"As an EU user, how do I exercise my right to data portability with this service?",3.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSR2-008,I live in California. How do I get a portable copy of my personal information under state law?,4.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSR2-009,Can I automatically send my exported data to another service or do I have to download and upload it manually?,2.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSR2-010,"If I can't find any export button, how should I contact you to request my data in a portable format?",2.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSR2-011,What if I have multiple accounts? Can I request a combined export of all my data?,4.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSR2-012,"Will the data export also include information from my use of your mobile app, not just the web version?",2.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSR2-013,"Does the export include metadata like timestamps, IP addresses, and device info, or just the content of my chats?",2.00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
